City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,Lihue,21.9789,-159.3672,81.91400000000004,66,0,5.14,US,1682635859
101,Waat,51.1454,6.4958,54.446000000000055,64,100,1.54,DE,1682636031
102,Pingxiang,27.6167,113.85,66.18200000000002,97,100,0.42,CN,1682636032
103,Bonthe,7.5264,-12.505,80.726,77,62,3.27,SL,1682636032
104,Villa Ojo de Agua,-29.5,-63.6938,63.319999999999965,71,3,3.92,AR,1682636032
105,Mount Pearl,47.5166,-52.7813,35.6,89,75,5.14,CA,1682635885
106,Papatowai,-46.5619,169.4708,55.742,76,7,1.02,NZ,1682635844
107,Ribeira Grande,38.5167,-28.7,61.05199999999998,89,14,2.68,PT,1682635875
108,Ust'-Ilimsk,58.0006,102.6619,30.398000000000025,91,83,1.77,RU,1682636032
109,Pisco,-13.7,-76.2167,73.72400000000002,78,0,7.2,PE,1682635879
110,Fuglafjørður,62.244,-6.814,34.538000000000046,61,100,5.82,FO,1682636032
111,Bamboo Flat,11.7,92.7167,82.68800000000005,77,63,1.9,IN,1682636033
112,Puerto Ayacucho,5.6639,-67.6236,80.27599999999998,80,99,2.16,VE,1682636033
113,Howrah,22.5892,88.3103,77.26999999999995,83,40,2.57,IN,1682635894
114,Iqaluit,63.7506,-68.5145,30.2,100,100,5.66,CA,1682636033
115,Dhi as Sufal,13.8345,44.1147,65.75,62,75,0.56,YE,1682636033
116,Christchurch,-43.5333,172.6333,60.69199999999999,77,0,6.69,NZ,1682636034
117,Mehtar Lām,34.6714,70.2094,65.55199999999998,61,3,0.63,AF,1682636034
118,Kitami,43.8031,143.8908,54.806000000000026,51,14,4.84,JP,1682636034
119,Longyearbyen,78.2186,15.6401,26.708000000000006,93,100,6.17,SJ,1682635871
120,Argos Orestiko,40.4667,21.2667,39.90199999999997,69,9,2.05,GR,1682636034
121,Chonchi,-42.6128,-73.8092,53.38399999999999,98,100,2.56,CL,1682636034
